"CCU","Description","Description Group","Supplier","Ownership","Department","Last Seen","Last Seen Date","Test Expiry","Pressure Test Expiry","Disposal Date","Reporting Period"
"8205786","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"84245","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"8539211","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"8791764","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"885330","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"9001026","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"9047854","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"9047896","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"9052093","40FT WORKSHOP","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"9211240","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"9411980","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"9623711","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"9647629","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"ABCU2506130","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"ABQU0000011","20'GP","20' Container","Gorgon Owned","ABU","GGN TA","Perth Supply Base","2023-01-14","","","","2021-08-03"
"ABQU0000027","20'GP","20' Container","Gorgon Owned","ABU","GGN TA","Perth Supply Base","2023-01-14","","","","2021-08-03"
"ABQU0000032","20'GP","20' Container","Gorgon Owned","ABU","GGN TA","Perth Supply Base","2023-01-14","","","","2021-08-03"
"ABQU0000048","20'GP","20' Container","Gorgon Owned","ABU","GGN TA","Perth Supply Base","2023-01-14","","","","2021-08-03"
"ABQU0000053","20'GP","20' Container","Gorgon Owned","ABU","GORGON OPERATIONS","Perth Supply Base","2024-06-27","","","","2021-08-03"
"ABQU0000069","20'GP","20' Container","Gorgon Owned","ABU","GORGON OPERATIONS","Perth Supply Base","2023-01-14","","","","2021-08-03"
"ABQU0000074","20'GP","20' Container","Gorgon Owned","ABU","GORGON OPERATIONS","Perth Supply Base","2025-11-07","","","","2021-08-03"
"ABQU0000080","20'GP","20' Container","Gorgon Owned","ABU","GGN TA","Wheatstone Downstream","2023-08-25","","","","2021-08-03"
"ABQU0000095","20'GP","20' Container","Gorgon Owned","ABU","GGN TA","Perth Supply Base","2023-01-14","","","","2021-08-03"
"ABQU0000109","20'GP","20' Container","Gorgon Owned","ABU","GGN TA","Barrow Island MOF","2024-08-13","","","","2021-08-03"
"ABQU0000114","20'GP","20' Container","Gorgon Owned","ABU","GGN TA","Perth Supply Base","2023-01-14","","","","2021-08-03"
"ABQU0000120","20'GP","20' Container","Gorgon Owned","ABU","GGN TA","Barrow Island","2025-12-09","","","","2021-08-03"
"ABQU0000135","20'GP","20' Container","Gorgon Owned","ABU","GGN TA","NORTH WEST SUPPLY BASE","2025-05-24","","","","2021-08-03"
